,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc529,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,First class service and price,garage service
Doc530,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.33,7,Quick & easy. Fitting at a local garage.Great service by all,location
Doc531,0.01,0.25,0.24,0.01,0.17,0.16,0.01,0.01,0.13,0.01,0.01,0.01,1,"Excellent price, superb service. Chose to have tyres fitted at home, fitters confirmed booking, then called to see if an earlier appointment could suit as tyres arrived early, polite, professional and not at all pushy.",garage service
Doc532,0.09,0.01,0.01,0.01,0.01,0.01,0.1,0.51,0.01,0.01,0.01,0.25,7,"Another great value and easy purchase from [REDACTED], there is always a great choice of premium tyres at competitive prices and factor in the convenient fitting arrangements and you have a real winner. I will certainly use them again.",location
Doc533,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Very efficient and good value for money,value for money
Doc534,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,7,Best deals I could find for 4 Bridgestone tyres,location
Doc535,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,11,"Quick and easy service to find correct tyre, compare prices and order with good choice of locations for fittinh",discounts
Doc536,0.3,0.01,0.01,0.44,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,3,Exceptional service - will definitely use this company again. Very efficient and a lovely guy who happily worked in the pouring rain to get the job done quickly.,change of date
Doc537,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.01,0.34,7,Easy to order the right tyres at t5he best price. Fitting was done efficiently and quickly.,location
Doc538,0.44,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0,"Great choice, good information/ratings on products and great value for money",value for money
Doc539,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Great service .Great price.JOB DONE.,garage service
Doc540,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.44,9,Easy to use website with informative and useful information. Good prices and handy being able to pick a time for fitting.,tyre quality
Doc541,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.48,0.01,0.32,9,"Easy to use website with useful and informative info. Especially useful being able to select a time/date for fitting...oh, and good prices too!Have used several times.",tyre quality
Doc542,0.15,0.29,0.01,0.16,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.01,6,"For all your tyre needs. Great range, prices and service! Loads of locations for fitting. Easy and hassle free from start to finish. Highly recommend [REDACTED].",ease of booking
Doc543,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0,Good efficient and friendly service. Easy to order and good price.,value for money
Doc544,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,"Perfect. Just what I wanted, quickly done and done very well. Well done BC and HiQ in Helston",value for money
Doc545,0.09,0.24,0.01,0.01,0.01,0.3,0.01,0.33,0.01,0.01,0.01,0.01,7,Great price tyres fitted local to mebest deal tyres. Great price tyres fitted local to me very fast and efficient,location
Doc546,0.01,0.18,0.01,0.01,0.14,0.01,0.01,0.29,0.01,0.01,0.01,0.33,11,"Easy to order online and great service form the garage. Always use [REDACTED].com. Normally the least expensive for premium tyres and fitting stations local.Excellent again, thank you.",discounts
Doc547,0.01,0.01,0.01,0.01,0.01,0.3,0.14,0.48,0.01,0.01,0.01,0.01,7,Christian Cars in Woldingham did a great job fitting the new tyres and [REDACTED] are always competitive on price.,location
Doc548,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,11,Good value and easy website to use,discounts
Doc549,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Great service and prices,garage service
Doc550,0.36,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,As promised and fitter was good,value for money
Doc551,0.01,0.24,0.01,0.12,0.15,0.3,0.01,0.01,0.01,0.01,0.01,0.12,5,"Purchasing process was easy. There were no other hidden costs and the partner garage that fitted the tyres were excellent. Overall, a great all round experience!",delivery punctuality
Doc552,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.22,0.22,1,Really easy to arrange.. Very happy with the service.,garage service
Doc553,0.3,0.01,0.18,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.01,0.01,7,"Tyres are good affordable prices and have a good option of makes and grades,along with a vast assortment of local garage fitters",location
Doc554,0.02,0.02,0.02,0.32,0.02,0.02,0.02,0.47,0.02,0.02,0.02,0.02,7,The delivery of the tyres was slow and the garage wasn't particularly friwndly,location
Doc555,0.53,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0.02,0,Simple quick and value for money,value for money
Doc556,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.43,0.02,0.02,0.02,0.36,7,price and easy access to the tyre depot.,location
Doc557,0.12,0.14,0.01,0.01,0.13,0.01,0.01,0.4,0.01,0.01,0.15,0.01,7,"Great experience, great value tyres and my local garage couldn't have been nicer or more helpful.",location
Doc558,0.01,0.16,0.01,0.08,0.01,0.01,0.01,0.01,0.12,0.6,0.01,0.01,9,"Tyres great, price good, tyre fitting at Just Tyres Leamington Spa was also excellent but the tyres failed to arrive for agreed fitting date and I wasted time on the fitting day and also had to rearrange the fitting twice.",tyre quality
Doc559,0.18,0.19,0.0,0.11,0.0,0.29,0.0,0.0,0.07,0.07,0.06,0.0,5,Excellent Service. My son has recommended [REDACTED] as he had used them before and was very happy with their service. I wasn't sure as I've never bought tyres off the internet but I must say what a fantastic price and service. I got the tyres I wanted around £60 to £80 cheaper and got them fitted in 2 days. I will definetly use them again and would highly recommend them to anyone. Give them a go you'll save £s.,delivery punctuality
Doc560,0.01,0.39,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,5,Great prices and service. No problem when I needed to change the size of the tyres after I placed the order. Finally a company that listens and delivers.,delivery punctuality
Doc561,0.18,0.18,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,5,Great value tyres. Big savings against high street with the option to get fitted at a garage to suit you.,delivery punctuality
Doc562,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.21,7,[REDACTED]. The price and tyres were good I wouldn't use the garage again,location
Doc563,0.02,0.38,0.02,0.02,0.41,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4,"Brilliant - welcome, service and customer service",wait time
Doc564,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.52,0.02,0.02,0.02,0.02,7,Amazingly convenient and the best price I could find,location
Doc565,0.27,0.26,0.01,0.18,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,Brilliant [REDACTED]. Great price tyres.Good experience just like last time.Would highly recommend.,value for money
Doc566,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0,Good service and very prompt - no long queues- car was ready and waiting when they said it would be.Could do with maybe supplying an umberella for the walk across to the cafe at m&s at handforth dean - as they have the car so could easily get wet on the walk there and back 😀Guys we're pleasant and efficient and had no issues with them at all.,value for money
Doc567,0.01,0.01,0.11,0.01,0.01,0.64,0.01,0.01,0.01,0.18,0.01,0.01,5,This is not the first time I have used [REDACTED] for buying car tyres.As on previous occasions the tyres have delivered on time and tyres fitted by on of their authorized fitters without any issues.,delivery punctuality
Doc568,0.01,0.36,0.01,0.01,0.01,0.33,0.18,0.01,0.01,0.01,0.01,0.01,1,"I ordered by accident the wrong size tyres - too big. [REDACTED] changed them free of charge, and actually refunded me the difference. Great service.",garage service
Doc569,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,10,Tyres were so squashed the garage had to blow them up for one hour before be able to fit them causing a big delay,length of fitting
Doc570,0.31,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.11,8,Value for money... tick... however the delivery by the garage versus expectation... our survey says... eeh eeh.. (Family fortunes sound!!) Not good at all. Turned up asap for the first come first served your site instructed for the AM fitting and was told it was booked for midday and I eventually was allowed to pick up at 2.30pm...,booking confusion
Doc571,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.22,0.02,0.22,1,Quality Service. Cheaper tyresEasy to organise fittingGreat website.,garage service
Doc572,0.01,0.01,0.01,0.36,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,5,Tyres were not delivery to the chosen garage on the agreed date and time .,delivery punctuality
Doc573,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.17,0.23,0.4,0.01,0.01,9,"Tyres at a good price, choice of garages for fitting and at a convenient time.",tyre quality
Doc574,0.38,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.41,0.02,0.02,9,Good price and late opening times,tyre quality
Doc575,0.11,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.58,0.11,0.13,0.0,8,Disappointed. This is the first time that I have had problems with [REDACTED] having used them several times before. I arrived at the garage at the time specified only to be told that my tyres hadn’t arrived. The garage was very helpful and chased the tyres up for me. I also called and [REDACTED] and was told that the tyres were out for delivery but they had no idea when they would arrive. They arrived late in the day and the garage where good enough to squeeze me in the same day. Not [REDACTED] usual very good service.,booking confusion
Doc576,0.01,0.01,0.19,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.28,0.01,5,Garage did not appear to know I was due to have tyres fitted.They asked for a couple of hours so I left my car. Went back 2.5 hours later still not done and was asked to wait another 30 mins. I wanted 4 new tyres as I had kerbed 3 of my wheels which are to be repaired on 29th August so had new tyres fitted before repairs as getting tyres fitted usually caused damage to wheels..well they damaged my only undamaged wheel so now I am getting all 4 repaired an extra cost of £130.,delivery punctuality
Doc577,0.01,0.14,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.38,0.14,10,"The tyres aren’t great, and it took an hour and a half to fit 2 tyres.It seems they had the new guy doing it, and ‘compressor issues’.Will probably use [REDACTED] again, but not the garage.",length of fitting
Doc578,0.03,0.36,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,"First class!From entering the reception everything was excellent, i left the key with them and returned 30 minutes later to find everything complete.The wheel nut returned to the original storage location.",garage service
Doc579,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,9,Service and internet good used before and would use again. Only disappointment tyres rated same as last lot but fuel economy nit as good on this set,tyre quality
Doc580,0.19,0.23,0.12,0.01,0.01,0.01,0.28,0.12,0.01,0.01,0.01,0.01,6,"Good prices, easy purchase and fitter service was fast and friendly. Totally hassle free.",ease of booking
Doc581,0.23,0.27,0.01,0.01,0.17,0.01,0.01,0.24,0.01,0.01,0.01,0.01,1,Prices are good but not the absolute best. Service and booking is great though!,garage service
Doc582,0.54,0.02,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0,"Chose incorrect tyre, replacements organised with no fuss. Good prices too...",value for money
Doc583,0.01,0.59,0.01,0.01,0.01,0.1,0.01,0.25,0.01,0.01,0.01,0.01,1,"Great options price and service. Great options, prices and service. Fitted by great local garage whilst having service performed. Couldn't have been easier.",garage service
Doc584,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,9,i've used [REDACTED] a number of times . Always competitive prices and tyres that are recently manufactured not old stock . Fitting is easily arranged and so far well done ( I always use Alpha and Yapps in Cardiff ),tyre quality
Doc585,0.02,0.22,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.2,2,On time and professional service - will defiantly use again!,mobile fitter
Doc586,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.12,0.2,0.35,0.01,0.01,9,Quality choice. I purchased the quality choice through [REDACTED]. I was a bit wary as they were un branded but have been pleasantly surprised. They look great and so far have given great grip in both dry and extremely wet conditions.The fitting service at my local centre was also brilliant.,tyre quality
Doc587,0.04,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2,Sped & efficiency by the fitters.,mobile fitter
Doc588,0.01,0.26,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.37,0.01,0.01,9,First time customer saved over £30 on two front tyres and service is great customer service very good will use again and and again,tyre quality
Doc589,0.23,0.28,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,7,Have dealt with them previously. Still great services and good prices.Recommended fitting ATS which is local and that was fine too.,location
Doc590,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0,Good description of product.Speedy service and good local fitting.,value for money
Doc591,0.32,0.01,0.17,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0,"Quick, efficient, professional, friendly, well priced. Happy customer.",value for money
Doc592,0.18,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.33,0.07,10,"Easy fit. Prompt service from garage. No waiting other than the time taken to put on the tyres. The garage completed an inspection of the other wheels and reported no problems. In terms of [REDACTED], the tyres were received by the garage in good time and are of a good quality and price.",length of fitting
Doc593,0.26,0.29,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,6,"fast, efficient, top brands, rational prices, convenient fitting, all boxes ticked",ease of booking
Doc594,0.0,0.0,0.0,0.06,0.17,0.24,0.06,0.0,0.29,0.0,0.16,0.0,8,"I should have learned my lesson the first time but I have now had a second poor experience with [REDACTED]. This time having placed my order 2 weeks in advance and before my touring holiday, I received a text the day before the scheduled fitting to say the tyres would not be available and asking me to rebook for the following week. This I did (now one day before my holiday). My wife took the car to the garage at 0930 on the rescheduled date to be told the tyres still weren't available. After many conversations with customer service, identical tyres were sourced and fitted at 1630. No-one seems to know what happened to the original pair. Frankly this was hassle I could well do without at my age. On the plus side the compensation was a 2 for 1 deal and the numerous the staff I spoke to were polite and very helpful. However....",booking confusion
Doc595,0.01,0.31,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,11,"extremely easy website, lots to pick from, very quick delivery and all in great service",discounts
Doc596,0.01,0.01,0.15,0.01,0.15,0.01,0.01,0.44,0.15,0.01,0.01,0.01,7,"Cheapest all inclusive price, choice of local fitters, all round great experience",location
Doc597,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.47,0.01,0.01,0.21,0.01,7,Brilliant price and fitted at my local garage as well totally happy.,location
Doc598,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,"Fast service, cheapest price. No worries",garage service
Doc599,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.27,7,"great price, very easy to purchase and choose fitting garage",location
Doc600,0.01,0.34,0.14,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.29,1,"Great product/price, v easy to use (although a morning appointment does apparently stretch until 1pm if using the mobile service!)",garage service
Doc601,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4,Brilliant customer service.,wait time
Doc602,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good service and prices,value for money
Doc603,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.47,0.01,0.01,9,Tyre not at garage when you said it would be even though you had sent me multiple messages about my fitting. You then sent me another fitting time the same day after fitting company had rang me to tell me the tyre would not be with them till the following Monday. Very disappointed in the service this time. Have bought from you before and received much better service.,tyre quality
Doc604,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.48,0.01,0.32,0.01,8,Decent prices but I was given a fitting time of 9am and when I arrived at the garage I was told this is just a drop off time and it could be up one and half hours to get my car back (two tyres to fit),booking confusion
Doc605,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,6,No hassle well priced driveway fitting was brilliant,ease of booking
Doc606,0.11,0.01,0.11,0.01,0.01,0.01,0.01,0.44,0.01,0.18,0.01,0.11,7,Prices to supply and fit were really competitive and extremely easy to organise fitting at local tyre fitters – I have already recommended [REDACTED] to a neighbour,location
Doc607,0.17,0.01,0.27,0.01,0.01,0.01,0.14,0.11,0.01,0.09,0.2,0.01,2,Dealing with [REDACTED] was easy and cheaper than I found locally. Even though I mucked it up initially and had to 'phone them to change to the correct tyres they were helpful and friendly. The local fitters that I used - F1 Tyrese in Slough - were also friendly and honest and did not try to get extra money for 'other services' as has happened at other tyre fitters.,mobile fitter
Doc608,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.47,0.01,0.01,0.15,8,Easy to select the right tyres and get them delivered to the garage of my choice for fitting at a time that suited me,booking confusion
Doc609,0.01,0.57,0.12,0.01,0.01,0.15,0.1,0.01,0.01,0.01,0.01,0.01,1,Great tyres at a great price. Excellent service from [REDACTED] partner McConachies in Falkirk. I turned up early and the guys got straight on with the job. Could not fault the service in any way.,garage service
Doc610,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,5,Cannot fault [REDACTED] but the garage I had my tyres fitted tried to rip me off. LAWS TYRES Bridge of Don. Read their Google reviews before having your tyres fitted here.,delivery punctuality
Doc611,0.08,0.28,0.1,0.0,0.14,0.0,0.0,0.1,0.13,0.0,0.0,0.15,1,"excellent service. Competitive prices, good website, excellent customer service via phone to sort out my initial incorrect order!, mobile tyre fitting option was a massive benefit at no additional cost (fitter arrived at stated timeslot and replaced 2 tyres in under 1 hour)",garage service
Doc612,0.61,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0.02,0,"On time and efficient, good service.",value for money
Doc613,0.01,0.14,0.12,0.01,0.01,0.01,0.1,0.01,0.01,0.3,0.28,0.01,9,"Excellent price for a top quality brand tyre and the selected fitter was exceptional in fitting and advising me of forthcoming issues and solving my valve problems. Hats off to the Apsley branch of ATS Euromaster, they went above and beyond my expectations. 5* Thank you all. Brilliant job.",tyre quality
Doc614,0.0,0.0,0.03,0.0,0.22,0.23,0.0,0.0,0.22,0.0,0.21,0.08,5,I ordered my tyres they got delivered and also got fitted - however when I arrived for my appointment I got asked who booked the car in by the manager I believe he told me they had advised [REDACTED] to cancel appointments as they were short staffed and double booked. I then said I would leave my car and comeback in a hour - when arrived back a hour later my card had not moved eventually my car went into the workshop about 10.45 I had a hospital appointment at 12.00 I checked on the progress of my tyres being fitted at 11.15 and found the wheels still hadn’t been removed. At that point I left the garage as I needed to be at my hospital appointment. I then had to make arrangements to get to the hospital and also to get back to collect my car I arrived back and my car was done. I understand this is not something you have any control over however the garages you use should be audited as I was not the only customer who wasn’t happy on that day- I also understand how garages work as I worked as a service manager in a main for 25 years I am not disappointed in the service received from you however very dissatisfied with your agents you choose to use .,delivery punctuality
Doc615,0.14,0.01,0.01,0.01,0.01,0.01,0.07,0.33,0.2,0.01,0.08,0.14,7,Good Deals. Very competitive prices meaning better deals.Easy to order and book a time slot at a local garage.Customer service team very helpful as I booked my slot at my local garage but the garage itself had double booked. [REDACTED] ammended this imediately and were very appologetic even though it wasn't their fault.I would use again and reccomend,location
Doc616,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.35,0.02,0.26,0.24,8,So easy on line. Tyres arrived late so had to rearrange but no problem.,booking confusion
Doc617,0.02,0.52,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,1,"No hassle, great prices.",garage service
Doc618,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0,[REDACTED] was good I wouldn't use the garage recommended again,value for money
Doc619,0.52,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0,Good price and fitted quickly,value for money
Doc620,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0,Good quality tyres and service at a decent price,value for money
Doc621,0.01,0.42,0.39,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,1,"Excellent way to buy new tyres, great choice and great prices.",garage service
Doc622,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,Good prices,value for money
Doc623,0.01,0.25,0.01,0.01,0.01,0.12,0.01,0.31,0.01,0.01,0.01,0.25,7,"Why go to anyone else. Easy to purchase on an excellent website and the price is virtually always lower than anyone else, they've also got great fitting options near me, so why go to anyone else?",location
Doc624,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.36,0.03,0.03,4,"Straight forward; right from choosing, purchasing through to booking fitting. Spot on",wait time
Doc625,0.42,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0,"Good tyres, good price, fast fitting - all good.",value for money
Doc626,0.01,0.15,0.01,0.01,0.01,0.21,0.01,0.55,0.01,0.01,0.01,0.01,7,The best price I could find on line and was able to select a local garage to get the tyres fitted- excellent,location
Doc627,0.13,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.42,11,"Easy to use website. Good selection of cheap tyres. Selected, paid and installed locally. No issues what so ever, the way it should be. Thank you so much",discounts
Doc628,0.11,0.01,0.01,0.12,0.1,0.01,0.01,0.51,0.01,0.01,0.01,0.11,7,Branded Tyres at a Good Price. Online process is easy and the fitting done by a local garage.Price was the best I could find for the Avon tyres I wanted.,location
Doc629,0.01,0.3,0.01,0.01,0.01,0.58,0.01,0.01,0.01,0.01,0.01,0.01,5,Got tyres supplied and fitted with no problem. Saved 70pound. Excellent service.,delivery punctuality
Doc630,0.01,0.28,0.01,0.47,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3,"Great service and tyres were competitively priced, with fitting at work to suit my schedule. Would definitely use again.",change of date
Doc631,0.01,0.14,0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.21,0.01,0.01,5,"The tyres in the end are excellent, but fitting them involved two visits as [REDACTED] sent the garage the wrong size tyres, due to mis-labeling. Then had to wait on the phone for a long time to report the issue.",delivery punctuality
Doc632,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1,The service from start to finish the was exemplary,garage service
Doc633,0.01,0.01,0.01,0.01,0.53,0.39,0.01,0.01,0.01,0.01,0.01,0.01,4,"There was limiited communication from the customer service. After I picked a time to have my tires fitted, I was not informed that the Tire shop canceled this order as the scheduled time had already been filled. I had to call the Tire shop to confirm and [REDACTED] customer service barely responded in a timely manner. Next time, I will just go to a Tyre shop and schedule through them.",wait time
Doc634,0.01,0.14,0.01,0.01,0.12,0.01,0.01,0.41,0.17,0.01,0.11,0.01,7,"The Tyres were unavailable after purchase. The Tyres were noted as unavailable after purchase and delayed by 5 days. The fitting at Hayes, Thankerton was however great. [REDACTED] Issues were with customer service which was slow and commutation was split over 3 people. Additional compensation delayed due to administration error.",location
Doc635,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,9,[REDACTED] are very good. I have used them 3 time now and had no problems. Very good service and fitting,tyre quality
Doc636,0.0,0.0,0.0,0.0,0.16,0.37,0.0,0.0,0.09,0.26,0.08,0.0,5,"Unlikely to use again. Ordered 2 tyres, got informed Wed 3pm the day before the fitting appointment at 9.30a.m on the Thurs that the tyres wouldn't be available for fitting until Sat. Given that I was taking the car on holiday on the Fri, I was left to find somewhere else at very short notice to get the tyres I wanted fitted in time. Would have given 1 star, but the customer service guy (who I eventually got through to) was really nice and helpful under the circumstances, and sorted out the refund quickly.",delivery punctuality
Doc637,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.27,0.0,0.23,0.16,0.1,7,"The service is easy to use, you can book a fitting time to suit you, prices are competitive and knowing the fitting garage is reputable helps confidence hence the best of both worlds. The garage staff I used were helpful and efficient. Thank you.",location
Doc638,0.19,0.11,0.15,0.12,0.16,0.01,0.01,0.01,0.01,0.14,0.1,0.01,0,Excellent experience. Good price particularly given the additional discount using their own centre. Very efficient service. On time appointment. Friendly professional staff. Would definitely use them again.,value for money
Doc639,0.01,0.13,0.01,0.15,0.01,0.01,0.26,0.39,0.01,0.01,0.01,0.01,7,No hassle tyre ordering and fitting at a local garage service which I would recommend,location
Doc640,0.01,0.01,0.18,0.01,0.01,0.01,0.42,0.27,0.01,0.01,0.01,0.01,6,Much cheaper than price quoted from another provider. Quick and professional fitting,ease of booking
Doc641,0.01,0.01,0.01,0.28,0.28,0.01,0.01,0.01,0.01,0.19,0.17,0.01,3,Satisfied customer. Used previously and will definitely use [REDACTED].com again. No issues. Tyres at the garage for my appointment.,change of date
Doc642,0.19,0.26,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.16,5,"Excellent Service. Easy, and good well fitted. No issues can’t fault.",delivery punctuality
Doc643,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Excellent price and service.,garage service
Doc644,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,Excellent price,garage service
Doc645,0.02,0.37,0.02,0.02,0.02,0.02,0.02,0.46,0.02,0.02,0.02,0.02,7,Great service at a local garage,location
Doc646,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,9,Good price. Fitting easily arranged and with no problems,tyre quality
Doc647,0.07,0.0,0.0,0.08,0.12,0.21,0.0,0.19,0.12,0.0,0.0,0.19,5,"This was the first time I have purchased tyres online, the experience was extremely easy with a wide choice of tyres and at very competitive prices along with a good choice of local partners to have your tyres fitted, I will definitely use [REDACTED].com again.",delivery punctuality
Doc648,0.38,0.02,0.02,0.02,0.02,0.02,0.02,0.41,0.02,0.02,0.02,0.02,7,Decent price but had to travel to get the tyres I wanted quick enough,location
Doc649,0.01,0.13,0.01,0.25,0.01,0.01,0.13,0.01,0.01,0.29,0.14,0.01,9,"Second time I’ve use [REDACTED] Taurus tyres and still very pleased with the whole service received from ordering, pricing to fitting went like clockwork. Would recommend",tyre quality
Doc650,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.4,0.01,0.01,0.01,0.32,7,"Very easy fitting. Smooth, easy experience at a garage you trust, and the tyres cost less than from the big nationals. Whats not to like.",location
Doc651,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.58,0.0,0.14,9,"Good price and easy online booking let down by careless fitting centre. Good price and easy online booking system with tyres available when they say they will be. [REDACTED] let down however by poor quality service from the chosen garage/fitting centre. No apparent follow up from [REDACTED] to check the quality of the fitting centre. Although I would use [REDACTED] again I will never use that particular tyre fitting centre again, namely Howard Selby of North Berwick. This is the second occasion that they have given shoddy service.",tyre quality
Doc652,0.01,0.62,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.15,0.01,0.01,1,Brilliant. Excellent customer service. Great price and great quality,garage service
Doc653,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.23,0.39,11,The website was so easy to use and I used ATS to fit the tyers they where very good so no problem,discounts
Doc654,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,11,cheap and easy.,discounts
Doc655,0.02,0.02,0.24,0.02,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4,3 times the fitter didn’t turn up. Tardy response from customers services. Waiting for final response. Still no refund. A disaster,wait time
